Timestamp,Elapsed_Time_s,CAN_Message
2025-10-11T15:25:02.444816,3.801,can1  110  [02]  B8 0B
2025-10-11T15:25:02.446906,3.803,can1  110  [02]  B8 0B
2025-10-11T15:25:03.102162,4.458,can1  110  [02]  A0 0F
2025-10-11T15:25:03.103509,4.460,can1  110  [02]  A0 0F
2025-10-11T15:25:03.105581,4.462,can1  110  [02]  88 13
2025-10-11T15:25:03.107193,4.463,can1  110  [02]  88 13
2025-10-11T15:25:03.109469,4.466,can1  110  [02]  70 17
2025-10-11T15:25:03.111277,4.467,can1  110  [02]  70 17
2025-10-11T15:25:03.114016,4.470,can1  120  [04]  80 1D 2C 04
2025-10-11T15:25:03.116239,4.472,can1  120  [04]  80 1D 2C 04
2025-10-11T15:25:03.758953,5.115,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:03.760656,5.117,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:03.764513,5.121,can1  120  [04]  80 4A 5D 05
2025-10-11T15:25:03.766548,5.123,can1  120  [04]  80 4A 5D 05
2025-10-11T15:25:03.767842,5.124,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:03.769475,5.126,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:03.772009,5.128,can1  100  [03]  70 11 01
2025-10-11T15:25:03.773359,5.129,can1  100  [03]  70 11 01
2025-10-11T15:25:04.426122,5.782,can1  110  [02]  70 17
2025-10-11T15:25:04.427591,5.784,can1  110  [02]  70 17
2025-10-11T15:25:04.429175,5.785,can1  120  [04]  80 F0 FA 02
2025-10-11T15:25:04.430454,5.787,can1  120  [04]  80 F0 FA 02
2025-10-11T15:25:04.432817,5.789,can1  120  [04]  00 5A 62 02
2025-10-11T15:25:04.434248,5.790,can1  120  [04]  00 5A 62 02
2025-10-11T15:25:04.435644,5.792,can1  120  [04]  80 C3 C9 01
2025-10-11T15:25:04.438558,5.795,can1  120  [04]  80 C3 C9 01
2025-10-11T15:25:05.207328,6.563,can1  110  [02]  D0 07
2025-10-11T15:25:05.209008,6.565,can1  110  [02]  D0 07
2025-10-11T15:25:05.210532,6.567,can1  100  [03]  10 27 00
2025-10-11T15:25:05.212357,6.568,can1  100  [03]  10 27 00
2025-10-11T15:25:05.213880,6.570,can1  100  [03]  20 4E 00
2025-10-11T15:25:05.215392,6.572,can1  100  [03]  20 4E 00
2025-10-11T15:25:05.216733,6.573,can1  110  [02]  B8 0B
2025-10-11T15:25:05.219234,6.575,can1  110  [02]  B8 0B
2025-10-11T15:25:06.073706,7.430,can1  100  [03]  40 9C 00
2025-10-11T15:25:06.075248,7.431,can1  100  [03]  40 9C 00
2025-10-11T15:25:06.076712,7.433,can1  100  [03]  50 C3 00
2025-10-11T15:25:06.078374,7.435,can1  100  [03]  50 C3 00
2025-10-11T15:25:06.080243,7.436,can1  110  [02]  70 17
2025-10-11T15:25:06.081629,7.438,can1  110  [02]  70 17
2025-10-11T15:25:06.083142,7.439,can1  100  [03]  70 11 01
2025-10-11T15:25:06.084786,7.441,can1  100  [03]  70 11 01
2025-10-11T15:25:06.086358,7.442,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:06.087866,7.444,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:06.090347,7.446,can1  120  [04]  80 4A 5D 05
2025-10-11T15:25:06.091790,7.448,can1  120  [04]  80 4A 5D 05
2025-10-11T15:25:06.725777,8.082,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:06.728024,8.084,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:06.730217,8.086,can1  110  [02]  58 1B
2025-10-11T15:25:06.732445,8.089,can1  110  [02]  58 1B
2025-10-11T15:25:06.733945,8.090,can1  120  [04]  00 87 93 03
2025-10-11T15:25:06.735795,8.092,can1  120  [04]  00 87 93 03
2025-10-11T15:25:06.737609,8.094,can1  110  [02]  88 13
2025-10-11T15:25:06.739294,8.095,can1  110  [02]  88 13
2025-10-11T15:25:07.276951,8.633,can1  120  [04]  00 5A 62 02
2025-10-11T15:25:07.278613,8.635,can1  120  [04]  00 5A 62 02
2025-10-11T15:25:07.280336,8.636,can1  120  [04]  80 C3 C9 01
2025-10-11T15:25:07.282016,8.638,can1  120  [04]  80 C3 C9 01
2025-10-11T15:25:07.283689,8.640,can1  120  [04]  00 2D 31 01
2025-10-11T15:25:07.285303,8.641,can1  120  [04]  00 2D 31 01
2025-10-11T15:25:07.940590,9.297,can1  110  [02]  E8 03
2025-10-11T15:25:07.942825,9.299,can1  110  [02]  E8 03
2025-10-11T15:25:07.945158,9.301,can1  110  [02]  D0 07
2025-10-11T15:25:07.947501,9.304,can1  110  [02]  D0 07
2025-10-11T15:25:07.949507,9.306,can1  120  [04]  80 C3 C9 01
2025-10-11T15:25:07.952266,9.308,can1  120  [04]  80 C3 C9 01
2025-10-11T15:25:08.592297,9.948,can1  100  [03]  40 9C 00
2025-10-11T15:25:08.593915,9.950,can1  100  [03]  40 9C 00
2025-10-11T15:25:08.595666,9.952,can1  100  [03]  50 C3 00
2025-10-11T15:25:08.597156,9.953,can1  100  [03]  50 C3 00
2025-10-11T15:25:08.599020,9.955,can1  120  [04]  00 87 93 03
2025-10-11T15:25:08.600571,9.957,can1  120  [04]  00 87 93 03
2025-10-11T15:25:09.147025,10.503,can1  120  [04]  80 1D 2C 04
2025-10-11T15:25:09.149863,10.506,can1  120  [04]  80 1D 2C 04
2025-10-11T15:25:09.151611,10.508,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:09.154101,10.510,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:09.156693,10.513,can1  100  [03]  90 5F 01
2025-10-11T15:25:09.159766,10.516,can1  100  [03]  90 5F 01
2025-10-11T15:25:09.161578,10.518,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:09.163375,10.520,can1  120  [04]  00 B4 C4 04
2025-10-11T15:25:09.806547,11.163,can1  110  [02]  58 1B
2025-10-11T15:25:09.808355,11.164,can1  110  [02]  58 1B
2025-10-11T15:25:09.810499,11.167,can1  110  [02]  70 17
2025-10-11T15:25:09.812891,11.169,can1  110  [02]  70 17
2025-10-11T15:25:09.814336,11.170,can1  110  [02]  88 13
2025-10-11T15:25:09.815915,11.172,can1  110  [02]  88 13
2025-10-11T15:25:10.458577,11.815,can1  110  [02]  A0 0F
2025-10-11T15:25:10.460334,11.816,can1  110  [02]  A0 0F
2025-10-11T15:25:10.461852,11.818,can1  100  [03]  30 75 00
2025-10-11T15:25:10.463250,11.819,can1  100  [03]  30 75 00
