Timestamp,Elapsed_Time_s,CAN_Message
2025-11-07T16:12:47.412378,24.625,can0  041  [04]  24 00 1E 00
2025-11-07T16:12:47.413685,24.626,can0  041  [04]  24 00 1E 00
2025-11-07T16:12:49.494948,26.708,can0  041  [04]  48 00 3C 00
2025-11-07T16:12:49.496678,26.709,can0  041  [04]  48 00 3C 00
2025-11-07T16:12:49.500424,26.713,can0  041  [04]  6C 00 5A 00
2025-11-07T16:12:49.502652,26.715,can0  041  [04]  6C 00 5A 00
2025-11-07T16:12:49.504152,26.717,can0  041  [04]  90 00 78 00
2025-11-07T16:12:49.505953,26.719,can0  041  [04]  90 00 78 00
2025-11-07T16:12:49.507110,26.720,can0  041  [04]  B4 00 96 00
2025-11-07T16:12:49.508306,26.721,can0  041  [04]  B4 00 96 00
2025-11-07T16:12:49.509556,26.722,can0  041  [04]  D8 00 B4 00
2025-11-07T16:12:49.511098,26.724,can0  041  [04]  D8 00 B4 00
2025-11-07T16:12:49.512925,26.726,can0  041  [04]  FB 00 D2 00
2025-11-07T16:12:49.515004,26.728,can0  041  [04]  FB 00 D2 00
2025-11-07T16:12:49.516498,26.729,can0  041  [04]  20 01 EF 00
2025-11-07T16:12:49.518381,26.731,can0  041  [04]  20 01 EF 00
2025-11-07T16:12:49.520147,26.733,can0  041  [04]  43 01 0D 01
2025-11-07T16:12:49.521957,26.735,can0  041  [04]  43 01 0D 01
2025-11-07T16:12:49.523618,26.736,can0  041  [04]  67 01 2B 01
2025-11-07T16:12:49.526785,26.740,can0  041  [04]  67 01 2B 01
2025-11-07T16:12:49.528318,26.741,can0  041  [04]  43 01 0D 01
2025-11-07T16:12:49.530128,26.743,can0  041  [04]  43 01 0D 01
2025-11-07T16:12:49.532678,26.745,can0  041  [04]  20 01 EF 00
2025-11-07T16:12:49.534852,26.748,can0  041  [04]  20 01 EF 00
2025-11-07T16:12:49.536748,26.749,can0  041  [04]  FB 00 D2 00
2025-11-07T16:12:49.539076,26.752,can0  041  [04]  FB 00 D2 00
2025-11-07T16:12:49.541333,26.754,can0  041  [04]  D8 00 B4 00
2025-11-07T16:12:49.542872,26.756,can0  041  [04]  D8 00 B4 00
2025-11-07T16:12:49.544520,26.757,can0  041  [04]  B4 00 96 00
2025-11-07T16:12:49.546145,26.759,can0  041  [04]  B4 00 96 00
2025-11-07T16:12:51.391932,28.605,can0  041  [04]  90 00 78 00
2025-11-07T16:12:51.393350,28.606,can0  041  [04]  90 00 78 00
2025-11-07T16:12:51.394733,28.607,can0  041  [04]  6C 00 5A 00
