Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg
2025-08-10T00:34:53.780252,2.913,25.07,587.29,25.69,3.27,3.26,3.25,3.27,0,0.0
2025-08-10T00:34:53.780252,2.913,25.07,586.18,25.69,3.26,3.27,3.25,3.28,0,0.0
2025-08-10T00:34:53.781501,2.914,25.03,587.29,25.69,3.27,3.26,3.25,3.29,0,0.0
2025-08-10T00:34:54.373151,3.506,25.05,586.18,25.62,3.26,3.26,3.25,3.29,0,0.0
2025-08-10T00:34:54.375266,3.508,25.07,587.29,25.69,3.26,3.27,3.25,3.29,0,164081.0
2025-08-10T00:34:54.377725,3.510,25.12,588.32,25.69,3.27,3.27,3.25,3.29,0,164081.0
2025-08-10T00:34:54.745055,3.878,25.09,586.18,25.67,3.26,3.27,3.24,3.28,0,164081.0
2025-08-10T00:34:54.745055,3.878,25.07,587.29,25.67,3.27,3.26,3.25,3.27,0,164081.0
2025-08-10T00:34:54.779324,3.912,25.07,587.29,25.67,3.25,3.27,3.25,3.29,0,164081.0
2025-08-10T00:34:55.076474,4.209,25.01,591.72,25.69,3.26,3.27,3.24,3.29,0,164081.0
2025-08-10T00:34:55.079656,4.212,25.07,586.18,25.62,3.26,3.27,3.24,3.29,0,0.7
2025-08-10T00:34:55.411599,4.544,25.07,587.29,25.64,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:34:55.413612,4.546,25.05,587.29,25.64,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:34:55.742467,4.875,25.03,588.32,25.69,3.27,3.26,3.24,3.29,0,0.7
2025-08-10T00:34:55.742467,4.875,25.12,587.29,25.67,3.26,3.27,3.24,3.29,0,0.7
2025-08-10T00:34:56.070098,5.203,25.05,588.32,25.64,3.27,3.26,3.25,3.28,0,0.7
2025-08-10T00:34:56.395809,5.528,25.05,588.32,25.40,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:34:56.397994,5.530,25.05,583.56,25.69,3.26,3.27,3.26,3.28,0,0.7
2025-08-10T00:34:56.397994,5.530,25.07,588.32,25.64,3.27,3.26,3.25,3.29,0,0.7
2025-08-10T00:34:56.730532,5.863,25.05,587.29,25.64,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:34:56.730532,5.863,25.07,587.29,25.64,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:34:56.730532,5.863,25.07,587.29,25.64,3.27,3.26,3.25,3.29,0,0.7
2025-08-10T00:34:57.065781,6.198,25.07,586.18,25.64,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:34:57.382072,6.515,25.07,587.29,25.69,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:34:57.382072,6.515,25.09,588.32,25.60,3.27,3.27,3.25,3.28,0,0.7
2025-08-10T00:34:57.714165,6.847,25.05,586.18,25.67,3.26,3.26,3.25,3.29,0,0.7
2025-08-10T00:34:57.714725,6.847,25.09,587.29,25.69,3.27,3.27,3.26,3.27,0,0.7
2025-08-10T00:34:57.714725,6.847,25.07,587.29,25.64,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:34:58.046734,7.179,25.05,586.18,25.67,3.26,3.27,3.24,3.30,0,0.7
2025-08-10T00:34:58.052538,7.185,25.09,587.29,25.67,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:34:58.365141,7.498,25.03,588.32,25.69,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:34:58.365141,7.498,25.03,588.32,25.69,3.26,3.26,3.25,3.29,0,0.7
2025-08-10T00:34:58.696752,7.829,25.09,583.56,25.64,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:34:58.698767,7.831,25.09,587.29,25.67,3.25,3.28,3.25,3.28,0,0.7
2025-08-10T00:34:59.029718,8.162,25.05,590.13,25.69,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:34:59.031731,8.164,25.05,587.29,25.60,3.26,3.27,3.25,3.28,0,0.7
