Timestamp,Elapsed_Time_s,Temp1,Temp2,Temp3,Volt1,Volt2,Volt3,Volt4,MPPT_curr_hull_port,MPPT_curr_hull_starbd,MPPT_curr_sail_port,MPPT_curr_sail_starbd,Actual_rdr_deg,Set_rdr_deg,Speed_over_gnd,IMU_roll,IMU_pitch,IMU_heading,Desired_heading,Data_wind_spd,Data_wind_dir,pH,Water_Temp,Salinity
2025-11-05T19:24:29.820809,3.353,6.0,12.0,32.0,0.19,0.38,0.8,1.14,1.0,3.0,5.0,8.0,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-05T19:24:29.821965,3.354,6.0,12.0,32.0,0.19,0.38,0.8,1.14,1.0,3.0,5.0,8.0,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-05T19:24:30.592271,4.125,6.0,12.0,32.0,0.19,0.38,0.8,1.14,1.0,3.0,5.0,8.0,-31.5,-36.0,3.0,-64.0,-171.0,36.0,None,None,None,None,None,None
2025-11-05T19:24:30.593265,4.126,6.0,12.0,32.0,0.19,0.38,0.8,1.14,1.0,3.0,5.0,8.0,-31.5,-36.0,3.0,-64.0,-171.0,36.0,None,None,None,None,None,None
2025-11-05T19:24:30.594136,4.126,6.0,12.0,32.0,0.19,0.38,0.8,1.14,1.0,3.0,5.0,8.0,-31.5,-36.0,3.0,-64.0,-171.0,36.0,None,3.0,36.0,None,None,None
2025-11-05T19:24:30.594859,4.127,6.0,12.0,32.0,0.19,0.38,0.8,1.14,1.0,3.0,5.0,8.0,-31.5,-36.0,3.0,-64.0,-171.0,36.0,None,3.0,36.0,None,None,None
2025-11-05T19:24:31.364280,4.897,19.0,25.0,45.0,0.57,0.76,1.2,1.52,4.0,5.0,8.0,10.0,-31.5,-36.0,3.0,-64.0,-171.0,36.0,None,3.0,36.0,None,None,None
2025-11-05T19:24:31.365597,4.898,19.0,25.0,45.0,0.57,0.76,1.2,1.52,4.0,5.0,8.0,10.0,-31.5,-36.0,3.0,-64.0,-171.0,36.0,None,3.0,36.0,None,None,None
2025-11-05T19:24:31.366552,4.899,19.0,25.0,45.0,0.57,0.76,1.2,1.52,4.0,5.0,8.0,10.0,-22.5,-27.0,6.0,-46.0,-153.0,72.0,None,3.0,36.0,None,None,None
2025-11-05T19:24:31.367275,4.900,19.0,25.0,45.0,0.57,0.76,1.2,1.52,4.0,5.0,8.0,10.0,-22.5,-27.0,6.0,-46.0,-153.0,72.0,None,3.0,36.0,None,None,None
2025-11-05T19:24:31.368120,4.900,19.0,25.0,45.0,0.57,0.76,1.2,1.52,4.0,5.0,8.0,10.0,-22.5,-27.0,6.0,-46.0,-153.0,72.0,None,6.0,72.0,None,None,None
2025-11-05T19:24:31.368987,4.901,19.0,25.0,45.0,0.57,0.76,1.2,1.52,4.0,5.0,8.0,10.0,-22.5,-27.0,6.0,-46.0,-153.0,72.0,None,6.0,72.0,None,None,None
2025-11-05T19:24:33.309123,6.841,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-22.5,-27.0,6.0,-46.0,-153.0,72.0,None,6.0,72.0,None,None,None
2025-11-05T19:24:33.310048,6.842,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-22.5,-27.0,6.0,-46.0,-153.0,72.0,None,6.0,72.0,None,None,None
2025-11-05T19:24:33.310944,6.843,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-13.5,-18.0,9.0,-28.0,-135.0,108.0,None,6.0,72.0,None,None,None
2025-11-05T19:24:33.311753,6.844,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-13.5,-18.0,9.0,-28.0,-135.0,108.0,None,6.0,72.0,None,None,None
2025-11-05T19:24:33.312531,6.845,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-13.5,-18.0,9.0,-28.0,-135.0,108.0,None,9.0,108.0,None,None,None
2025-11-05T19:24:33.313250,6.846,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-13.5,-18.0,9.0,-28.0,-135.0,108.0,None,9.0,108.0,None,None,None
2025-11-05T19:24:34.107902,7.640,44.0,50.0,71.0,1.33,1.52,2.0,2.28,9.0,10.0,12.0,15.0,-13.5,-18.0,9.0,-28.0,-135.0,108.0,None,9.0,108.0,None,None,None
