Timestamp,Elapsed_Time_s,Temp1,Temp2,Temp3,Volt1,Volt2,Volt3,Volt4,MPPT_curr_hull_port,MPPT_curr_hull_starbd,MPPT_curr_sail_port,MPPT_curr_sail_starbd,Actual_rdr_deg,Set_rdr_deg,Speed_over_gnd,IMU_roll,IMU_pitch,IMU_integral,IMU_derivative,IMU_heading,Desired_heading,Data_wind_spd,Data_wind_dir,pH,Water_Temp,Salinity
2025-11-05T19:36:56.805270,4.765,82.0,88.0,110.0,2.47,2.66,3.2,3.42,16.0,18.0,20.0,22.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-05T19:36:56.806449,4.766,82.0,88.0,110.0,2.47,2.66,3.2,3.42,16.0,18.0,20.0,22.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025-11-05T19:36:56.826073,4.785,82.0,88.0,110.0,2.47,2.66,3.2,3.42,16.0,18.0,20.0,22.0,22.5,18.0,21.0,44.0,-63.01,70.0,70.0,251.99,None,None,None,None,None,None
2025-11-05T19:36:56.827282,4.787,82.0,88.0,110.0,2.47,2.66,3.2,3.42,16.0,18.0,20.0,22.0,22.5,18.0,21.0,44.0,-63.01,70.0,70.0,251.99,None,None,None,None,None,None
2025-11-05T19:36:57.694242,5.654,82.0,88.0,110.0,2.47,2.66,3.2,3.42,16.0,18.0,20.0,22.0,22.5,18.0,21.0,44.0,-63.01,70.0,70.0,251.99,None,21.0,251.0,None,None,None
2025-11-05T19:36:57.695166,5.655,82.0,88.0,110.0,2.47,2.66,3.2,3.42,16.0,18.0,20.0,22.0,22.5,18.0,21.0,44.0,-63.01,70.0,70.0,251.99,None,21.0,251.0,None,None,None
2025-11-05T19:36:58.951576,6.911,69.0,76.0,97.0,2.09,2.28,2.8,3.04,14.0,15.0,18.0,20.0,22.5,18.0,21.0,44.0,-63.01,70.0,70.0,251.99,None,21.0,251.0,None,None,None
2025-11-05T19:36:58.952845,6.912,69.0,76.0,97.0,2.09,2.28,2.8,3.04,14.0,15.0,18.0,20.0,22.5,18.0,21.0,44.0,-63.01,70.0,70.0,251.99,None,21.0,251.0,None,None,None
2025-11-05T19:36:58.953906,6.913,69.0,76.0,97.0,2.09,2.28,2.8,3.04,14.0,15.0,18.0,20.0,13.5,9.0,18.0,25.99,-81.01,60.0,60.0,216.0,None,21.0,251.0,None,None,None
2025-11-05T19:36:58.954880,6.914,69.0,76.0,97.0,2.09,2.28,2.8,3.04,14.0,15.0,18.0,20.0,13.5,9.0,18.0,25.99,-81.01,60.0,60.0,216.0,None,21.0,251.0,None,None,None
2025-11-05T19:36:58.955839,6.915,69.0,76.0,97.0,2.09,2.28,2.8,3.04,14.0,15.0,18.0,20.0,13.5,9.0,18.0,25.99,-81.01,60.0,60.0,216.0,None,18.0,216.0,None,None,None
2025-11-05T19:36:58.957479,6.917,69.0,76.0,97.0,2.09,2.28,2.8,3.04,14.0,15.0,18.0,20.0,13.5,9.0,18.0,25.99,-81.01,60.0,60.0,216.0,None,18.0,216.0,None,None,None
2025-11-05T19:36:59.757665,7.717,57.0,63.0,84.0,1.71,1.9,2.4,2.66,11.0,12.0,15.0,18.0,13.5,9.0,18.0,25.99,-81.01,60.0,60.0,216.0,None,18.0,216.0,None,None,None
2025-11-05T19:36:59.758874,7.718,57.0,63.0,84.0,1.71,1.9,2.4,2.66,11.0,12.0,15.0,18.0,13.5,9.0,18.0,25.99,-81.01,60.0,60.0,216.0,None,18.0,216.0,None,None,None
2025-11-05T19:36:59.759901,7.719,57.0,63.0,84.0,1.71,1.9,2.4,2.66,11.0,12.0,15.0,18.0,4.5,0.0,15.0,8.0,-99.0,50.0,50.0,180.0,None,18.0,216.0,None,None,None
2025-11-05T19:36:59.760848,7.720,57.0,63.0,84.0,1.71,1.9,2.4,2.66,11.0,12.0,15.0,18.0,4.5,0.0,15.0,8.0,-99.0,50.0,50.0,180.0,None,18.0,216.0,None,None,None
2025-11-05T19:36:59.761751,7.721,57.0,63.0,84.0,1.71,1.9,2.4,2.66,11.0,12.0,15.0,18.0,4.5,0.0,15.0,8.0,-99.0,50.0,50.0,180.0,None,15.0,180.0,None,None,None
2025-11-05T19:36:59.762483,7.722,57.0,63.0,84.0,1.71,1.9,2.4,2.66,11.0,12.0,15.0,18.0,4.5,0.0,15.0,8.0,-99.0,50.0,50.0,180.0,None,15.0,180.0,None,None,None
2025-11-05T19:37:00.543525,8.503,44.0,50.0,71.0,1.33,1.52,2.0,2.28,9.0,10.0,12.0,15.0,4.5,0.0,15.0,8.0,-99.0,50.0,50.0,180.0,None,15.0,180.0,None,None,None
2025-11-05T19:37:00.544673,8.504,44.0,50.0,71.0,1.33,1.52,2.0,2.28,9.0,10.0,12.0,15.0,4.5,0.0,15.0,8.0,-99.0,50.0,50.0,180.0,None,15.0,180.0,None,None,None
2025-11-05T19:37:00.545831,8.505,44.0,50.0,71.0,1.33,1.52,2.0,2.28,9.0,10.0,12.0,15.0,-4.5,-9.0,12.0,-10.0,-117.0,40.0,40.0,144.0,None,15.0,180.0,None,None,None
2025-11-05T19:37:00.546640,8.506,44.0,50.0,71.0,1.33,1.52,2.0,2.28,9.0,10.0,12.0,15.0,-4.5,-9.0,12.0,-10.0,-117.0,40.0,40.0,144.0,None,15.0,180.0,None,None,None
2025-11-05T19:37:01.408750,9.368,44.0,50.0,71.0,1.33,1.52,2.0,2.28,9.0,10.0,12.0,15.0,-4.5,-9.0,12.0,-10.0,-117.0,40.0,40.0,144.0,None,12.0,144.0,None,None,None
2025-11-05T19:37:01.409930,9.369,44.0,50.0,71.0,1.33,1.52,2.0,2.28,9.0,10.0,12.0,15.0,-4.5,-9.0,12.0,-10.0,-117.0,40.0,40.0,144.0,None,12.0,144.0,None,None,None
2025-11-05T19:37:02.181738,10.141,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-4.5,-9.0,12.0,-10.0,-117.0,40.0,40.0,144.0,None,12.0,144.0,None,None,None
2025-11-05T19:37:02.182773,10.142,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-4.5,-9.0,12.0,-10.0,-117.0,40.0,40.0,144.0,None,12.0,144.0,None,None,None
2025-11-05T19:37:02.183702,10.143,31.0,38.0,58.0,0.95,1.14,1.6,1.9,6.0,8.0,10.0,12.0,-13.5,-18.0,9.0,-28.0,-135.0,30.0,30.0,108.0,None,12.0,144.0,None,None,None
